dataset,source,input_tokens,output_tokens,concurrency,path,repeats,aggregate_input_tok_s,aggregate_decode_tok_s,wall_output_tok_s,mean_ttft_s,source_batch
v7-code-matrix,S1,8192,512,1,pd,2,5678.910873743696,72.96244328053432,60.616563204926976,1.4429633490071865,mean-of-two
v7-code-matrix,S1,8192,512,4,pd,2,7184.3635761386995,124.31281548380325,114.20526513004151,3.074812042999838,mean-of-two
v7-code-matrix,S1,8192,512,8,pd,2,7543.4645894874875,158.78122420140363,150.45282679417917,5.218310096435744,mean-of-two
v7-code-matrix,S1,8192,512,12,pd,2,7371.074447918397,177.24515902201637,170.01602964311354,7.520286480081874,mean-of-two
v7-code-matrix,S1,32768,512,1,pd,2,9757.616810556163,73.77389565809244,49.7547038670056,3.3669049739910406,mean-of-two
v7-code-matrix,S1,32768,512,4,pd,2,12804.591484623652,103.46170034161617,88.9583996964263,6.854046036254658,mean-of-two
v7-code-matrix,S1,32768,512,8,pd,2,13173.51493727616,121.70194881730413,110.96518258350414,11.713233191750078,mean-of-two
v7-code-matrix,S1,32768,512,12,pd,2,13814.563958264122,135.72924543160298,126.58552155704498,16.27783773770716,mean-of-two
v7-matched-controls,S2,8192,512,8,pd,1,7838.252759232585,158.91869174465666,150.68171904702933,5.103904920873902,1
v7-matched-controls,S2,8192,512,8,direct,1,1723.9177535107458,80.85995447242561,73.58284126415417,21.440885281503142,2
v7-matched-controls,S2,8192,512,8,direct,1,1717.872490557174,79.7750171431554,72.66438562631122,21.98133459388191,3
v7-matched-controls,S2,8192,512,8,pd,1,7786.60566966096,161.61574971300954,153.05545473062924,5.1018013441280345,4
v7-matched-controls,S2,32768,512,8,direct,1,1710.162805598616,27.725329348858626,24.649720355658904,85.80338760012819,5
v7-matched-controls,S2,32768,512,8,pd,1,13268.225942527439,123.9918785078381,112.16697493281134,11.60279534025176,6
v7-matched-controls,S2,32768,512,8,pd,1,13331.902510185431,122.51694577092763,111.58212708636074,11.589698747622606,7
v7-matched-controls,S2,32768,512,8,direct,1,1689.3309576394702,27.703474745934383,24.46335364649505,87.27845013288243,8
v7-long-output-diagnostic,S2,32768,2048,12,pd,1,13485.393455116624,199.39332790122936,194.23791170515847,16.241873095418367,9
