release,experiment,revision,configuration,primary_path,control_path,model,quantization,kv_type,workload,concurrency,input_tokens,output_tokens,ttft_primary_ms,ttft_control_ms,token1_to_2_ms,prefill_primary_tok_s,prefill_control_tok_s,prefill_aggregate_primary_tok_s,prefill_aggregate_control_tok_s,decode_primary_tok_s,decode_control_tok_s,decode_aggregate_primary_tok_s,decode_aggregate_control_tok_s,e2e_aggregate_primary_tok_s,e2e_aggregate_control_tok_s,kv_migration_ms,acceptance_pct,ms_per_step,tokens_per_step,status,notes
2.6,27B-A,3060-IQ3,dense-layered,RTX3060+395,395-solo,Qwen3.8-27B,UD-IQ3_XXS,NA,pp4096,1,4096,NA,NA,NA,NA,658.52,313.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,separate IQ3 envelope
2.6,27B-A,3060-IQ3,dense-layered,RTX3060+395,395-solo,Qwen3.8-27B,UD-IQ3_XXS,NA,pp65536,1,65536,NA,NA,NA,NA,319.10,136.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,separate IQ3 envelope
2.6,27B-A,3060-IQ3,dense-layered,RTX3060+395,395-solo,Qwen3.8-27B,UD-IQ3_XXS,NA,pp98304,1,98304,NA,437000,900000,NA,225.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured,control timed out at 900 seconds
2.6,27B-A,3060-IQ3,dense-layered,RTX3060+395,395-solo,Qwen3.8-27B,UD-IQ3_XXS,NA,tg64,1,NA,64,NA,NA,NA,NA,NA,NA,NA,19.57,18.26,NA,NA,NA,NA,NA,NA,NA,NA,measured,separate IQ3 envelope
2.6,27B-B,3080-Q4-v1.0,full-prefill-split,router-split,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,service,1,NA,255,1073,4825,NA,1000.6,207.2,NA,NA,38.75,36.33,NA,NA,NA,NA,71,NA,NA,NA,measured,six concurrency tiers times two paths equals twelve groups
2.6,27B-B,3080-Q4-v1.0,full-prefill-split,router-split,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,service,2,NA,255,1680,9649,NA,1008.4,103.6,NA,NA,27.94,24.36,NA,NA,NA,NA,76,NA,NA,NA,measured,six concurrency tiers times two paths equals twelve groups
2.6,27B-B,3080-Q4-v1.0,full-prefill-split,router-split,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,service,3,NA,255,2680,15321,NA,1014.5,65.3,NA,NA,21.45,21.17,NA,NA,NA,NA,68,NA,NA,NA,measured,six concurrency tiers times two paths equals twelve groups
2.6,27B-B,3080-Q4-v1.0,full-prefill-split,router-split,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,service,4,NA,255,3255,19763,NA,1010.9,50.6,NA,NA,18.34,14.44,NA,NA,NA,NA,72,NA,NA,NA,measured,six concurrency tiers times two paths equals twelve groups
2.6,27B-B,3080-Q4-v1.0,full-prefill-split,router-split,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,service,5,NA,255,4457,22460,NA,1015.5,44.5,NA,NA,13.10,11.48,NA,NA,NA,NA,72,NA,NA,NA,measured,six concurrency tiers times two paths equals twelve groups
2.6,27B-B,3080-Q4-v1.0,full-prefill-split,router-split,395-solo,Qwen3.8-27B,Q4_K_M,q4_0,service,6,NA,255,5009,22303,NA,1014.3,44.8,NA,NA,9.67,8.82,NA,NA,NA,NA,70,NA,NA,NA,measured,six concurrency tiers times two paths equals twelve groups
