profile,record_type,target_input_tokens,actual_input_tokens,concurrency,prefill_tps,ttft_s,observed_output_tokens,selection,output_tokens_per_request,requests,succeeded,errors,total_output_tokens,total_wall_s,aggregate_output_tps,per_request_decode_tps_mean,ttft_p50_s,ttft_p95_s
capacity,prefill_c1,2048,2023.0,1,6754.540887388295,0.3053949330060277,2,median_c1,,,,,,,,,,
capacity,prefill_c1,4096,4021,1,8016.631673792558,0.501582230994245,2,second_run_steady_state,,,,,,,,,,
capacity,prefill_c1,8192,8017.5,1,8157.735293062046,0.9828264170064358,2,median_c1,,,,,,,,,,
capacity,prefill_c1,16384,16009.0,1,8309.15291980793,1.9267561664892128,2,median_c1,,,,,,,,,,
capacity,prefill_c1,32768,31994.0,1,8218.545887693457,3.8929330189857865,2,median_c1,,,,,,,,,,
special_pp2,prefill_c1,4096,4021,1,7538.101946419039,0.533423404005589,2,median_c1,,,,,,,,,,
special_pp2,prefill_c1,8192,8017,1,8696.944968924072,0.9218179520103149,2,median_c1,,,,,,,,,,
capacity,serving,,,1,,,,three_rounds_excluding_warmup,256,3,3,0,768,8.099296728963964,94.8230476917272,108.13344706918109,0.12388924899278209,0.6940398105769418
capacity,serving,,,2,,,,three_rounds_excluding_warmup,256,6,6,0,1536,8.895084204006707,172.67964695692518,97.0728866648463,0.242650598011096,0.24602869000227656
capacity,serving,,,3,,,,three_rounds_excluding_warmup,256,9,9,0,2304,9.914852236019215,232.37865226371235,87.76664748729769,0.2482441540050786,0.24932494818931444
capacity,serving,,,4,,,,three_rounds_excluding_warmup,256,12,12,0,3072,10.373369606997585,296.14292331083186,82.91002750597958,0.2496209454984637,0.2548883555064094
capacity,serving,,,5,,,,three_rounds_excluding_warmup,256,15,15,0,3840,12.154851630009944,315.9232310593707,79.14882216920617,0.2653619320190046,1.572433448812808
capacity,serving,,,6,,,,three_rounds_excluding_warmup,256,18,18,0,4608,11.106197700981284,414.90347318352366,76.88667824956657,0.2658354635059368,0.26771702965343136
special_pp2,serving,,,1,,,,three_rounds_excluding_warmup,256,3,3,0,768,9.390314413991291,81.78639885110798,85.86115564324842,0.141380648012273,0.16476688161201308
special_pp2,serving,,,2,,,,three_rounds_excluding_warmup,256,6,6,0,1536,11.077249666966964,138.66257836369311,73.69112042117075,0.14309881097869948,0.15294783199351514
special_pp2,serving,,,3,,,,three_rounds_excluding_warmup,256,9,9,0,2304,13.862375903030625,166.205275063728,61.27416978096557,0.2660745839821175,0.3601169226167258
special_pp2,serving,,,4,,,,three_rounds_excluding_warmup,256,12,12,0,3072,14.962471522012493,205.31367397963191,56.81239029135253,0.1961500275065191,0.3684436342853587
special_pp2,serving,,,5,,,,three_rounds_excluding_warmup,256,15,15,0,3840,15.277487526007462,251.35022977194504,54.66035822251629,0.27246882597683,0.3699772114021471
special_pp2,serving,,,6,,,,three_rounds_excluding_warmup,256,18,18,0,4608,16.193558977014618,284.55758283529053,52.140460873695474,0.32141565399069805,0.3749290249063051
